content_type,post_id,title,slug,old_url,new_url
page,2176,News,news-3,http://localhost:8090/news-3/,/news-3/
page,1016,Permission Statement,permission-statement,http://localhost:8090/permission-statement/,/permission-statement/
page,1005,Soft Money Loans,soft-money-loans,http://localhost:8090/soft-money-loans/,/soft-money-loans/
page,957,Sub Prime Loans,sub-prime-loans,http://localhost:8090/sub-prime-loans/,/sub-prime-loans/
page,955,Rehab Loans,rehab-loans,http://localhost:8090/rehab-loans/,/rehab-loans/
page,897,Short Sale Investors,short-sale-investors,http://localhost:8090/short-sale-investors/,/short-sale-investors/
page,806,Recent Funded Projects,projects,http://localhost:8090/projects/,/projects/
page,705,Site Map,site_map,http://localhost:8090/site_map/,/site_map/
page,696,Gas Station Loans,gas-station-loans,http://localhost:8090/commercial-loans/gas-station-loans/,/gas-station-loans/
page,690,Glossary,glossary,http://localhost:8090/glossary/,/glossary/
page,623,Physician Loans,physician-loans,http://localhost:8090/physician-loans/,/physician-loans/
page,199,Stated Income Personal Line of Credit,stated-income-personal-line-of-credit,http://localhost:8090/home/stated-income-personal-line-of-credit/,/stated-income-personal-line-of-credit/
page,197,Stated Income Business Line of Credit,stated-income-business-line-of-credit,http://localhost:8090/home/stated-income-business-line-of-credit/,/stated-income-business-line-of-credit/
page,195,Stated Income Business Loans,stated-income-business-loans,http://localhost:8090/home/stated-income-business-loans/,/stated-income-business-loans/
page,39,Stated Income Residential Loans,home-mortgages,http://localhost:8090/home/home-mortgages/,/home-mortgages/
page,190,Raw Land Hard Money Loans,raw-land-hard-money-loans,http://localhost:8090/raw-land-hard-money-loans/,/raw-land-hard-money-loans/
page,188,Construction Hard Money Loans,construction-hard-money-loans-2,http://localhost:8090/construction-hard-money-loans-2/,/construction-hard-money-loans-2/
page,185,Credit Repair,business-management-consulting,http://localhost:8090/financial-services/business-management-consulting/,/business-management-consulting/
page,183,Financial Consulting,financial-consulting,http://localhost:8090/financial-services/financial-consulting/,/financial-consulting/
page,181,Merchant Account Credit Card Processing,merchant-account-credit-card-processing,http://localhost:8090/financial-services/merchant-account-credit-card-processing/,/merchant-account-credit-card-processing/
page,178,Debt Settlement Reduction,debt-settlement-reduction,http://localhost:8090/financial-services/debt-settlement-reduction/,/debt-settlement-reduction/
page,176,Short Sales,short-sales,http://localhost:8090/financial-services/short-sales/,/short-sales/
page,174,Loan Modifications,loan-modifications,http://localhost:8090/financial-services/loan-modifications/,/loan-modifications/
page,160,Business Loans,business-loans,http://localhost:8090/financial-services/business-loans/,/business-loans/
page,140,Commercial Construction Loans,commercial-construction-loans,http://localhost:8090/commercial-loans/commercial-construction-loans/,/commercial-construction-loans/
page,138,Commercial Hard Money Mortgage Loans,commercial-hard-money-mortgage-loans,http://localhost:8090/commercial-loans/commercial-hard-money-mortgage-loans/,/commercial-hard-money-mortgage-loans/
page,136,Residential Hard Money Loans,residential-hard-money-loans-2,http://localhost:8090/residential-hard-money-loans-2/,/residential-hard-money-loans-2/
page,134,Reverse Mortgage Loan Programs,reverse-mortgages-loan-programs,http://localhost:8090/reverse-mortgages-loan-programs/,/reverse-mortgages-loan-programs/
page,132,Construction Loans,construction-loans-2,http://localhost:8090/construction-loans-2/,/construction-loans-2/
page,130,VA Purchase 100% Financing,va-purchase-100-financing,http://localhost:8090/verterain-va-loans-2/va-purchase-100-financing/,/va-purchase-100-financing/
page,128,VA Loans,verterain-va-loans-2,http://localhost:8090/verterain-va-loans-2/,/verterain-va-loans-2/
page,126,Fannie Mae Purchase 3% Down,fannie-mae-purchase-3-down,http://localhost:8090/fannie-mae-purchase-3-down/,/fannie-mae-purchase-3-down/
page,122,FHA Purchase 3.5% Down,fha-purchase-3-5-down,http://localhost:8090/fha-purchase-3-5-down/,/fha-purchase-3-5-down/
